SKU,Product_Name,Product_Description,Quantity,Product_Location
194813853,Biovi Total Beauty,"Bifidobacterium longum subsp. infantis, Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",1183,CN
195704117,care one nicotine,Nicotine Polacrilex,3381,UA
197147444,Fentanyl,Fentanyl,4251,DE
199497186,String Beans,String Beans,4310,CN
200448205,Morphine Sulfate,MORPHINE SULFATE,2217,MX
201377172,Clonidine Hydrochloride,clonidine hydrochloride,4030,RU
202277930,Solodyn,minocycline hydrochloride,2994,YE
204791885,Dextroamphetamine Sulfate,dextroamphetamine sulfate,1843,LV
205281581,Colic,Colic,552,ID
206565076,Famotidine,Famotidine,3643,ID
206814808,In Control Nicotine,Nicotine Polacrilex,3356,CD
207232199,Anti-Gas,Simethicone,1036,UG
207726425,Remedy Nutrashield,Dimethicone,3960,ID
208019078,quinapril hydrochloride and hydrochlorothiazide,quinapril hydrochloride and hydrochlorothiazide,601,JP
209088951,Prazosin Hydrochloride,Prazosin Hydrochloride,1371,PH
209180431,DR. IASO VITA WHITE,GLYCERIN,828,RU
209900805,Nimbex,Cisatracurium Besylate,2036,TH
211217634,Glucotrol,glipizide,316,ID
213271295,soCALM Pain Relieving,METHYL SALICYLATE,4091,AM
213536952,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,1859,IR
214383114,Biophex,"Guaifenesin, Phenylephrine HCl",3741,PH
214452812,HeartburnCare,"Abies nigra, Condurango, Conium maculatum, Iris versicolor, Magnesia carbonica, Robinia pseudoacacia",2337,ID
216145284,Stool Softener,DOCUSATE SODIUM,1423,FI
216518068,Carbamazepine,Carbamazepine,3439,FR
218479262,Para Grass Pollen,Para Grass Pollen,4991,FR
219758465,Motion Sickness,Dimenhydrinate,3030,CU
222352488,Haloperidol,Haloperidol,384,ZA
223177535,Vanilla Sunscreen Lip Moisturizer,"OCTINOXATE, OXYBENZONE",1875,PE
226385810,Lemon Zest Antibacterial Foaming Hand Wash,Triclosan,4082,CN
226730943,MembraneBlue,Trypan Blue,4336,CN
227286134,Nervousness - Anxiety,"Aconitum nap., Ambra, Anacardium orientale, Arg.nit., Asafoetida, Bryonia, Chamomilla, Cimicifuga, Coffea cruda, Cypripedium, Gelsemium, Hyoscyamus, Hypericum, Ignatia, Kali phos., Nux vom., Sambucus nig., Strychninum, Theridion, Valeriana, Passiflora",2331,CN
227503270,childrens wal tap,"Brompheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl",1742,CN
227575594,Rosacea,"Arsenicum alb., Arsenicum bromatum, Carbo animalis, Causticum, Hydrocotyle, Kali brom., Kali iod., Kreosotum, Lycopodium, Nux vom., Petroleum, Rhus toxicodendron, Sepia, Sulphur, Echinacea, Taraxacum",3565,PH
227628545,Lab1796 High Blood Pressure Guard,"Barium carbonate, Atropa belladonna, Nitroglycerin, Lycopus virginicus, Strychnos nux-vomica seed, Lead",2420,RW
227909361,Gentamicin sulfate,Gentamicin Sulfate,1371,CN
228610602,MENTAL ALERTNESS SUPPORT,"PHOSPHORICUM ACIDUM, PICRICUM ACIDUM, GELSEMIUM SEMPERVIRENS, VALERIANA OFFICINALIS",466,FR
229274487,Sure Invisible Solid Powder Scent,Aluminum Zirconium Tricholorohydrex GLY,3384,HR
231958064,up and up ranitidine,Ranitidine,3368,FR
234588868,NERVE TONIC,"CALCIUM PHOSPHATE, IRON, POTASSIUM PHOSPHATE, UNSPECIFIED FORM, MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE, and SODIUM PHOSPHATE",2995,MX
235061480,Ticlopidine hydrochloride,Ticlopidine hydrochloride,4960,CN
235423289,SYCAMORE POLLEN,platanus occidentalis pollen,4998,CN
236532705,Plegisol,"POTASSIUM CHLORIDE, SODIUM CHLORIDE, CALCIUM CHLORIDE, and MAGNESIUM CHLORIDE",2976,CN
237233541,Liothyronine Sodium,Liothyronine Sodium,1299,ID
237245233,IPKN ARTISTS TOUCH BB 01 LIGHT,TITANIUM DIOXIDE,2564,CN
237618793,enema,Saline,4153,AU
238423261,Dyural LM Kit,"Methylprednisolone Acetate, Lidocaine Hydrochloride, Bupivacaine Hydrochloride, Povidine Iodine, Isopropyl Alcohol",1773,CN
239856008,Bye Bye Burns,Topical Skin Spray,759,OM
239934556,SEROQUEL,Quetiapine fumarate,4876,RU
242938803,Varibar Thin Honey,barium sulfate,4709,IT
244842410,Meclizine Hydrochloride,meclizine hydrochloride,990,GT
248202546,CAPITAL AND CODEINE,Acetaminophen and codeine phosphate,389,PL
251296206,Cholestyramine,Cholestyramine,156,PH
251851218,Vecamyl,Mecamylamine Hydrochloride,163,GF
253941167,Ibuprofen,Ibuprofen,1153,ID
254240346,Amoxicillin,Amoxicillin,2949,PH
255146978,CVS Moisturizing Lubricating Eye,Carboxymethylcellulose Sodium,1726,SM
256076285,Qsymia,phentermine and topiramate,4931,CN
257782108,All Day Allergy,Cetirizine Hydrochloride,294,RU
259501468,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,3326,SE
259910154,Meaningful Beauty Cindy Crawford,"AVOBENZONE, OCTINOXATE, OCTISALATE, and OXYBENZONE",1652,BW
259913566,ORIGINAL POWER HYDRO AMPOULE,"GLYCERIN, DIMETHICONE",548,PH
260471081,Ampicillin and Sulbactam,Ampicillin Sodium and Sulbactam Sodium,4196,ID
260502932,Verapamil Hydrochloride,verapamil hydrochloride,4394,CN
260673917,Aspen,Aspen,37,RU
260801206,Pain Relieving,"Camphor, Menthol, Methyl Salicylate",142,CN
261078652,Alprazolam,alprazolam,3139,JP
262101880,Moexipril Hydrochloride and Hydrochlorothiazide,Moexipril Hydrochloride and Hydrochlorothiazide,2893,JP
263929714,Ramipril,Ramipril,900,MX
264010206,Lidocaine Hydrochloride,Lidocaine Hydrochloride,3011,PT
264098246,4 in 1 Pressed Mineral SPF 15 Golden Dark,Titanium Dioxide,1174,TH
265706706,ESIKA,Aluminum Sesquichlorohydrate,2861,FR
266234654,Levetiracetam,Levetiracetam,1890,SN
267651008,Fluconazole,fluconazole,4485,ID
268092443,Metformin Hydrochloride,Metformin Hydrochloride,4485,CA
268409191,Arizona Ash,Arizona Ash,1475,ID
269282236,Lorazepam,Lorazepam,1432,CA
270249861,Ropinirole Hydrochloride,ropinirole,4739,VE
270719229,Pinceladas Para Hongos Navarro,Undecylenic Acid,2342,US
271227272,Alendronate Sodium,Alendronate Sodium,3883,CN
271530905,Levothyroxine Sodium,Levothyroxine Sodium,4502,ID
271694110,Caraway Seed,Caraway Seed,1511,JP
271940349,NARS Pure Radiant Tinted Moisturizer,Octinoxate and Titanium Dioxide,4096,FR
272718838,LBEL MAXIMUM COMFORT AND LONG-LASTING FOUNDATION SPF 10,Zinc oxide,1277,JP
273018834,lisinopril,lisinopril,1584,PL
274137506,Naratriptan,Naratriptan,2215,CN
274688397,Dolce and Gabbana The Lift Foundation Natural Beige 120,"OCTINOXATE, TITANIUM DIOXIDE",2168,VC
275094494,DURAGESIC,fentanyl,1045,CN
277089743,PredniSONE,PredniSONE,1720,KN
277421002,Synthroid,Levothyroxine Sodium,306,ID
277632036,Pazol,"Salicylic Acid, Sulfur, and Coal Tar",4840,ID
278237305,Mentholatum Ironman,Muscle and Joint Roll-On,2065,PS
280423456,Hydrogen Peroxide,Hydrogen Peroxide,331,CN
280768928,PERIPLANETA AMERICANA,AMERICAN COCKROACH,2632,FR
280827007,Levothyroxine Sodium,levothyroxine sodium,244,CN
280943928,carboplatin,carboplatin,4223,FR
281047808,Refill Saline Packets,"SODIUM BICARBONATE, SODIUM CHLORIDE",257,RU
281133340,Vitamin K1,PHYTONADIONE,4808,US
281696626,Propranolol Hydrochloride,Propranolol Hydrochloride,2294,CN
284206691,Acetaminophen Oral Solution,Acetaminophen,1600,KG
285606399,Oxygen,Oxygen,3837,ID
285799708,Lipotox,"Squalene, Cholesterinum, Estrogen, Progesterone, Aspartame, Benzalkonium chloride, Formalinum, Methylene chloride",4865,FR
286034158,Sumatriptan Succinate,Sumatriptan Succinate,2879,NL
286201366,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,4058,CZ
286275178,Pramipexole Dihydrochloride,Pramipexole Dihydrochloride,4135,US
287641936,CITALOPRAM HYDROBROMIDE,CITALOPRAM,204,KR
288664187,Neutrogena Nourishing Long Wear Makeup Tone Correcting Complex Sunscreen Broad Spectrum SPF20,Titanium Dioxide,1142,PL
289910986,Buxom Show Some Skin Weightless Foundation Broad Spectrum SPF 30,Octinoxate and Titanium Dioxide,4241,ID
290480631,Carbon Dioxide,Carbon Dioxide,404,CN
291422599,Alka-Seltzer Plus,"Acetaminophen, Dextromethorphan hydrobromide, Chlorpheniramine maleate, and Phenylephrine hydrochloride",2583,PT
291724522,Maximum Strength Caffeine,Caffeine,1559,SE
292364864,Nutricel Additive Solution - AS-3,CP2D/AS-3 Anticoagulant and Additive System,4137,UA
292484784,Bio Hornbeam,Hornbeam,4906,PH
293202536,DuoNeb,ipratropium bromide and albuterol sulfate,4859,RU
294213350,Conazol,Miconazole Nitrate,3393,CN
294327629,risperidone,risperidone,3985,CI
296383306,BICILLIN L-A,PENICILLIN G BENZATHINE,2832,RU
298440007,Hydrocodone Bitartrate and Ibuprofen,Hydrocodone Bitartrate and Ibuprofen,4387,PT
298895830,PureVit DualFe Plus,"Ferrous Fumarate, Polysaccharide Iron Complex",2647,BR
299495507,Chestal for Children,"ANTIMONY POTASSIUM TARTRATE, BRYONIA ALBA ROOT, PROTORTONIA CACTI, DROSERA ROTUNDIFOLIA, IPECAC, PULSATILLA VULGARIS, RUMEX CRISPUS ROOT, PONGIA OFFICINALIS SKELETON, ROASTED, LOBARIA PULMONARIA",187,FR
300368346,Tramadol Hydrochloride,Tramadol Hydrochloride,2681,ID
301126596,Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,2269,PH
304731450,Metoprolol Tartrate,Metoprolol Tartrate,3464,US
305321054,Gabapentin,gabapentin,4013,MD
305362198,VYTORIN,ezetimibe and simvastatin,2430,ID
305583395,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,3427,ET
307634745,Colgate Optic White Sparkling Mint Flavor,SODIUM MONOFLUOROPHOSPHATE,3117,ID
308262632,Sodium Chloride,Sodium Chloride,617,NO
308375936,Acid Relief,Ranitidine,1919,NO
308612186,Herbon Berry Buddies/Watermelon Goodypops,Pectin and Echinacea Purpurea,4261,ID
309234058,CYBERWHITE HD BB ADVANCED BRIGHTENING BROAD SPECTRUM SPF 50,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",3573,PS
312207081,Liver Detox,"Arsenicum album, Baptisia tinctoria, Berberis vulgaris, Bryonia, Carduus marianus, Chelidonium majus, Chionanthus virginica, Cinchona officinalis, Lycopodium clavatum, Manganum muriaticum, Natrum sulphuricum, Nux vomica, Phosphorus, Sulphur, Taraxacum officinale",961,BR
312633357,Fluocinonide,Fluocinonide,831,NG
312888990,DELFLEX,"Dextrose Monohydrate, Sodium Chloride, Calcium Chloride, Magnesium Chloride, Sodium Lactate",746,PH
313972624,Vestura,Drospirenone and Ethinyl Estradiol,2598,BR
316266466,Varicose Veins - Phlebitis,"Elaps corallinus, Crotalus horridus, Bryonia, Calc. fluor., Carduus mar., Cholesterinum, Cinchona, Digitalis, Hamamelis, Hydrofluoricum acidum, Lachesis, Lycopodium, Naja, Pulsatilla, Vipera berus, Zinc. met., Aesculus hipp., Echinacea",3487,IE
316475116,Isosorbide Dinitrate,Isosorbide Dinitrate,2012,ID
317042117,Triacting Day Time,"DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",979,ID
318606883,BEEVENOM,"Glycerin, Dimethicone",3168,PH
318750607,Sugar Free Cherry Fishermans Friend Menthol Cough Suppressant,Menthol,1616,TH
318797161,Famciclovir,Famciclovir,2869,VN
319137765,ACONITUM NAPELLUS,ACONITUM NAPELLUS,4920,JP
319350912,Dantrium,dantrolene sodium,1042,ID
320978181,Mouth Rinse,sodium fluoride,3413,BR
321356353,Sertraline Hydrochloride,sertraline hydrochloride,3916,US
322872552,SPF 50 Broad Spectrum,"Avobenzone, Homosalate, Octisalate, Octocrylene, Oxybenzone",2947,PL
324528682,Diclofenac Sodium,Diclofenac Sodium,2630,PT
326295339,Clean and Clear Advantage,Salicylic Acid,529,UA
327846022,Extra Strength Headache Relief,"Acetaminophen, Aspirin and Caffeine",1219,GR
328053423,Zhuang Gu She Xiang Zhi Tong Gao,"Camphor, Menthol",219,BR
330161571,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP33 Chocolate,OCTINOXATE,2389,EE
330496980,Clindamycin Hydrochloride,Clindamycin Hydrochloride,4768,CN
330821708,Doxycycline hyclate,Doxycycline hyclate,4097,BR
331140155,Sulindac,Sulindac,4063,PT
331817515,Headache relief,"Acetaminophen, Aspirin and Caffeine",84,FR
333047907,Nitrofurantion Macrocrystals,Nitrofurantion Macrocrystals,4558,CN
334727336,Acetazolamide,Acetazolamide,4722,US
335791076,Haloperidol,haloperidol,4667,CN
336620117,Stomach relief,Bismuth subsalicylate,1763,ID
337912677,Gilotrif,afatinib,3865,RU
339643558,Thyroid HP,"Baryta Carbonica, Calcarea Carbonica, Fucus Vesiculosus, Iodium, Natrum Muriaticum, Pulsatilla, Spongia Tosta",4532,PH
341423835,Anti-Aging Daily Moisturizer Sunscreen Broad-Spectrum SPF 30,"AVOBENZONE, OCTINOXATE, OCTISALATE, OXYBENZONE",79,ES
341883387,Candesartan cilexetil,Candesartan cilexetil,3542,CN
342309123,Tryptophan,"Tryptophan,",1441,PL
342933589,PHARMACYS PRESCRIPTION,HYDROGEN PEROXIDE,4069,ID
343437047,Midol Complete,"Acetaminophen, Caffeine, and Pyrilamine Maleate",3648,BR
343560256,KERANIQUE For Women Hair Regrowth Treatment,MINOXIDIL,2021,ID
344880794,Colgate UltraBrite Advanced Whitening Anticavity Fluoride Clean Mint,Sodium Fluoride,1609,RU
345875877,Levofloxacin,Levofloxacin,3172,GT
348100440,nasal mist,Oxymetazoline HCl,3267,FR
348965717,Lipo-Chord,Homeopathic Liquid,331,ID
349515703,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,3466,BA
351951647,povidine iodine,povidine iodine,4056,FR
352431041,OB Cleansing Towelette,BENZALKONIUM CHLORIDE,467,PE
352688757,Ceftriaxone Sodium,Ceftriaxone Sodium,4933,ID
353860099,Levetiracetam,Levetiracetam,4741,PH
353880649,Differin,adapalene,1545,AM
354160751,Olanzapine and Fluoxetine,Olanzapine and Fluoxetine,1573,ZM
354884966,Sodium Chloride,Sodium Chloride,2506,TH
356124667,WINRHO,rho (d) immune globulin,2388,ID
357440580,ANTI-DANDRUFF SHAMPOO AND CONDITIONER,PYRITHIONE ZINC,1085,NG
358576373,Isosorbide,Isosorbide mononitrate,71,TH
359644040,Gadavyt Enema,"dibasic sodium phosphate, monobasic sodium phosphate",4234,PW
359720586,Fresh Umbrian Clay Freshface Foundation SPF 20 Chalet Girl,Octinoxate,1278,MX
360478297,COUMADIN,warfarin sodium,742,MG
360624220,ropinirole hydrochloride,ropinirole hydrochloride,1860,PH
361769632,Branders Antiseptic Hand Sanitizer,ETHYL ALCOHOL,3828,ZA
364149453,Doxazosin,Doxazosin,3421,PH
364189809,Simvastatin,Simvastatin,1814,RU
366417382,Zipsor,diclofenac potassium,862,CN
366724249,Gabapentin,Gabapentin,3468,RU
367624766,Wal-Dryl Allergy Plus Cold,"Acetaminophen, Diphenhydramine HCl and Phenylephrine HCl",1656,CN
369610618,Mamonde Total,OCTINOXATE and TITANIUM DIOXIDE,187,JP
370200275,Neutrogena Nourishing Long Wear Makeup Tone Correcting Complex Sunscreen Broad Spectrum SPF20,Titanium Dioxide,4786,PT
370946141,Indomethacin,Indomethacin,3179,CN
371896523,CLEAR AND CLEAN Neutral pH Antiseptic Hand Wash,CHLOROXYLENOL,1404,TL
373602029,OMNISCAN,gadodiamide,4204,PH
374575428,LBEL,"Octinoxate, Octisalate, and Oxybenzone",2657,RU
375467227,Waterless Anti-Bacterial Hand Cleanser,Ethyl Alcohol,2586,CN
377008954,Acetadryl,Acetaminophen and diphenhyramine,4773,RU
377009451,Midodrine Hydrochloride,midodrine hydrochloride,154,PT
377477008,Fosrenol,lanthanum carbonate,3367,VE
378420940,Gynobalance,Gynobalance,508,FI
378808304,Axe,Aluminum Zirconium Tetrachlorohydrex GLY,4492,NG
379050835,Neutrogena Shine Control Makeup,Titanium Dioxide,3577,CN
379445366,Dial Gold Antibacterial Soap,TRICLOSAN,3663,ID
381150148,Pear,Pear,161,CN
384095112,Lisinopril and Hydrochlorothiazide,lisinopril and hydrochlorothiazide,1898,ID
384244524,Prednisone,Prednisone,688,FR
386689367,Dendracin Neurodendraxcin,"Methyl Salicylate, Menthol and Capsaicin",2863,RU
387099543,Ala-Septic,Salicyclic Acid,4387,BJ
387949280,AMARANTHUS PALMERI POLLEN,Carelessweed,4429,ID
388044819,Exelon,rivastigmine tartrate,3988,BY
388431052,Antibacterial Hand Sanitizer,Alcohol,3431,PT
388759178,Flecainide Acetate,flecainide acetate,2197,ZA
390198145,Carvedilol,Carvedilol,922,TN
390398560,Premarin,conjugated estrogens,4341,CY
391018940,Prednisone,Prednisone,2933,CI
391485751,Diabenex HP,"Colchicum Autumnale, Lacticum Acidum, Lycopodium Clavatum, Phosphoricum Acidum, Phosphorus, Syzygium Jambolanum",4054,CA
391499273,Potassium Chloride,Potassium Chloride,840,CR
391590914,FENOFIBRATE,FENOFIBRATE,1776,RU
393042622,Penicilium chrysogenum,Penicilium chrysogenum,2930,US
396854761,Giant Wild Rye,Giant Wild Rye,4204,PT
397817043,CounterAct,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine",4752,JP
398242866,nasal,Oxymetazoline HCl,4958,PE
400850733,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,2483,RS
402164956,Ranitidine,Ranitidine,3053,FR
404502719,HEB,Fluoride,3355,ID
404743548,HealthMart Loratadine ODT,Loratadine,1300,RU
407256116,Gelato Perio Maintenance Rinse,Stannous Fluoride,2887,PH
407478237,IPKN Moist and Firm BB 02 Medium,TITANIUM DIOXIDE,265,ID
407679647,Naproxen Sodium,Naproxen Sodium,520,LA
408081404,KROGER NICOTINE TRANSDERMAL SYSTEM,NICOTINE,4608,CN
409007018,Hand Sanitizer,BENZALKONIUM CHLORIDE,2362,ID
411077658,Aplicare Povidone Iodine,Povidone Iodine,750,CN
411328688,Walgreens Sunscreen,AVOBENZONE HOMOSALATE OCTISALATE OCTOCRYLENE OXYBENZONE,4151,CN
411482795,ziprasidone hydrochloride,ziprasidone hydrochloride,1193,PH
414757374,Cytarabine,CYTARABINE,284,RU
414961134,Hormonal Headaches,"Belladonna 30c, Cinchona 30c, Ferrum Phos 30c, Gelsemium 30c, Glonoine 30, Lachesis 30c, Nat Mur 30c, Nux Vomica 30c, Sanguinaria 30c, Sepia 30c, Sulphur 30c, Tarentula 30c, Ustillago 30c, Veratrum Album 30c",1147,ID
415000277,Petrolatum,White Petrolatum,1455,PH
415883641,Fentanyl,Fentanyl,2081,CN
416429003,Trazodone Hydrochloride,Trazodone Hydrochloride,2566,ID
416508517,Methylphenidate Hydrochloride,Methylphenidate Hydrochloride,2911,RU
416687808,Time Frame Future Resist Foundation Broad Spectrum SPF 20,Titanium Dioxide,612,BR
417996081,FAMILY CARE ULTRA STRENGTH PAIN RELIEF,"CAMPHOR, MENTHOL",812,CO
420779007,Purgo Ultra PC,CHLOROXYLENOL,785,CH
421992237,PATADAY,olopatadine hydrochloride,3516,SE
422075422,Promescent,Lidicaine,2942,JP
422147218,Gabapentin,Gabapentin,966,TH
423429929,LEDUM PALUSTRE,LEDUM PALUSTRE,1097,PH
423516137,Vagisil Anti Itch Maximum Strength,Benzocaine and Resorcinol,624,TZ
425115072,Levofloxacin,Levofloxacin,1077,CN
425523171,Good Sense Nighttime Cough,"Dextromethorphan Hydrobromide, Doxylamine Succinate",2709,CN
426601354,BIRDS GARDEN LIP BALM,"OCTINOXATE, OCTOCRYLENE, OCTISALATE, and OXYBENZONE",325,BR
427407543,Simvastatin,Simvastatin,3623,RU
427782910,Verapamil Hydrochloride,verapamil hydrochloride,2689,HR
428229713,Bismatrol,Bismuth Subsalicylate,952,ID
428692699,Ibuprofen,Ibuprofen,1879,BR
428885558,Pediatex TDM,"TRIPROLIDINE HYDROCHLORIDE, PSEUDOEPHEDRINE HYDROCHLORIDE, and DEXTROMETHORPHAN HYDROBROMIDE",4084,CD
429646822,VALACYCLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,2148,ID
430487723,Sciatic Rescue,"Phytolacca Decandra, Gnaphalium Polycephalum, Colocynthis, Gelsemium Sempervirens",813,RU
431966835,Aspirin,Aspirin,3923,PH
433367125,Gas-X,Simethicone,4880,ET
433792617,Bactine Original First Aid,BENZALKONIUM CHLORIDE and LIDOCAINE HYDROCHLORIDE,427,RU
434304280,ULMUS CRASSIFOLIA POLLEN,Cedar Elm,3605,PH
435623424,Olanzapine,Olanzapine,841,NL
438804730,HOT FLASH RESCUE,NOT APPLICABLE,1227,CN
440353079,OXYGEN,OXYGEN,802,KE
442416153,Propranolol Hydrochloride,propranolol hydrochloride,4803,PT
443465427,XtraCare Antibacterial Hand Cleanse,Triclosan,4968,BR
443484323,Ocean Potion Instant Dry 30 Mist Sport Sunscreen,"avobenzone, homosalate, octisalate, octocrylene",3386,CN
444218176,Olanzapine,Olanzapine,3244,CN
